"4M Research, Inc. - PES"										
Labor Category	Site	8/26/2013 - 2/21/2015	2/22/2015 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 11/9/2017					
"Hexagon US Federal, Inc. (Ingr-S) - PSS MOB"										
Labor Category	Site									
										
"Hexagon US Federal, Inc. (Ingr-S) - PSS PES"										
Labor Category	Site									
										
"Higher Echelon, Inc. - PES"										
Labor Category	Site									
										
"Higher Echelon, Inc. - MOBIS"										
Labor Category	Site									
										
"Higher Echelon, Inc. - PSS MOB"										
Labor Category	Site									
										
"Higher Echelon, Inc. - PSS PES"										
Labor Category	Site									
										
"Hitachi Consulting Government Solutions, Inc. (CCI) - MOBIS"										
Labor Category	Site									
										
"Hitachi Consulting Government Solutions, Inc. (CCI) - PSS MOB"										
Labor Category	Site									
										
"Hitachi Consulting Government Solutions, Inc. (CCI) - PSS PES"										
Labor Category	Site									
										
"Hypersoft, Inc. - PES"										
Labor Category	Site									
										
"Ignite Education, Inc. (USI) - PSS MOB"										
Labor Category	Site									
										
"Ignite Education, Inc. (USI) - PES"										
Labor Category	Site									
										
"Ignite Education, Inc. (USI) - PSS PES"										
Labor Category	Site									
										
Ignited LLC - PES										
Labor Category	Site									
										
Ignited LLC - PSS MOB										
Labor Category	Site									
										
Ignited LLC - PSS PES										
Labor Category	Site									
										
"Imprimis, Inc. - PES"										
Labor Category	Site									
										
"Imprimis, Inc. - PSS MOB"										
Labor Category	Site									
										
"Imprimis, Inc. - PSS PES"										
Labor Category	Site									
										
InfoMatrix Technologies Inc - PES										
Labor Category	Site									
										
InfoMatrix Technologies Inc - PSS MOB										
Labor Category	Site									
										
InfoMatrix Technologies Inc - PSS PES										
Labor Category	Site									
										
"Ingenuity, Inc. - MOBIS"										
Labor Category	Site									
										
"Ingenuity, Inc. - PES"										
Labor Category	Site									
										
"Ingenuity, Inc. - PSS MOB"										
Labor Category	Site									
										
"Ingenuity, Inc. - PSS PES"										
Labor Category	Site									
										
"Innovative Decisions,Inc. - MOBIS"										
Labor Category	Site									
										
"Innovative Decisions,Inc. - PSS MOB"										
Labor Category	Site									
										
"Innovative Decisions,Inc. - PSS PES"										
Labor Category	Site									
										
"Integrated Solutions for Systems, Inc. - PES"										
Labor Category	Site									
										
"Integrated Solutions for Systems, Inc. - PSS MOB"										
Labor Category	Site									
										
"Integrated Solutions for Systems, Inc. - PSS PES"										
Labor Category	Site									
										
"Integrated Test Solutions, Inc. - PES"										
Labor Category	Site									
										
"Integrated Test Solutions, Inc. - PSS MOB"										
Labor Category	Site									
										
"Integrated Test Solutions, Inc. - PSS PES"										
Labor Category	Site									
										
Integrated Thought Corporation - PES										
Labor Category	Site									
										
Integrated Thought Corporation - PSS MOB										
Labor Category	Site									
										
Integrated Thought Corporation - PSS PES										
Labor Category	Site									
										
"Integration Innovation, Inc. - PES"										
Labor Category	Site									
										
"Integration Innovation, Inc. - PSS MOB"										
Labor Category	Site									
										
"Integration Innovation, Inc. - PSS PES"										
Labor Category	Site									
										
"Intelligent Decisions, Inc. - PES"										
Labor Category	Site									
										
"Intelligent Decisions, Inc. - PSS MOB"										
Labor Category	Site									
										
"Intelligent Decisions, Inc. - PSS PES"										
Labor Category	Site									
										
Intergraph Government Solutions Corporation - PES										
Labor Category	Site									
										
Intergraph Government Solutions Corporation - PSS MOB										
Labor Category	Site									
										
Intergraph Government Solutions Corporation - PSS PES										
Labor Category	Site									
										
"Intrepid, L.L.C. - PES"										
Labor Category	Site									
										
"Intrepid, L.L.C. - PSS MOB"										
Labor Category	Site									
										
"Intrepid, L.L.C. - PSS PES"										
Labor Category	Site									
										
Intuitive Research and Technology Corporation - PES										
Labor Category	Site									
										
Invariant Corporation - PSS PES										
Labor Category	Site									
										
"IPKeys Technologies, LLC (Ipkeys) - PSS MOB"										
Labor Category	Site									
										
"IPKeys Technologies, LLC (Ipkeys) - PSS PES"										
Labor Category	Site									
										
Iron Mountain Solutions (IMS) - PES										
Labor Category	Site									
										
Iron Mountain Solutions (IMS) - PSS MOB										
Labor Category	Site									
										
Iron Mountain Solutions (IMS) - PSS PES										
Labor Category	Site									
										
"Iroquoisystems, Inc. - PES"										
Labor Category	Site									
										
"Iroquoisystems, Inc. - PSS MOB"										
Labor Category	Site									
										
"Iroquoisystems, Inc. - PSS PES"										
Labor Category	Site									
										
ISSAC Corporation - PES										
Labor Category	Site									
										
ISSAC Corporation - PSS MOB										
Labor Category	Site									
										
ISSAC Corporation - PSS PES										
Labor Category	Site									
										
"Jacobs Technology, Inc - IT"										
Labor Category	Site									
										
John C. Mainwaring (dba DS Engineering) - PES										
Labor Category	Site									
										
John C. Mainwaring (dba DS Engineering) - PSS MOB										
Labor Category	Site									
										
John C. Mainwaring (dba DS Engineering) - PSS PES										
Labor Category	Site									
										
"John H Northrop & Associates, Inc. - PES"										
Labor Category	Site									
										
"John H Northrop & Associates, Inc. - PSS MOB"										
Labor Category	Site									
										
"John H Northrop & Associates, Inc. - PSS PES"										
Labor Category	Site									
										
Joint Technology Engineering Inc - PES										
Labor Category	Site									
										
Joint Technology Engineering Inc - PSS MOB										
Labor Category	Site									
										
Joint Technology Engineering Inc - PSS PES										
Labor Category	Site									
										
"Kenetics, Inc. - PES"										
Labor Category	Site									
										
"Kenetics, Inc. - PSS MOB"										
Labor Category	Site									
										
"Kenetics, Inc. - PSS PES"										
Labor Category	Site									
										
"Ki Ho Military Acquisition Consulting, Inc. (KIHOMAC) - PES"										
Labor Category	Site									
										
"Kinney Group, Inc. - MOBIS"										
Labor Category	Site									
										
"Kinney Group, Inc. - PSS MOB"										
Labor Category	Site									
										
"Kinney Group, Inc. - PSS PES"										
Labor Category	Site									
										
"Kord Technologies, Inc. - PES"										
Labor Category	Site	8/26/2013 - 2/21/2015	2/22/2015 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 11/9/2017					
Administrative Support I	On	18.51	18.88	19.26	19.64					
Administrative Support I	Off	21.78	22.21	22.66	23.12					
Administrative Support II	On	20.79	21.2	21.62	22.05					
Administrative Support II	Off	24.47	24.96	25.46	25.96					
Administrative Support III	On	24.33	24.82	25.32	25.83					
Administrative Support III	Off	28.64	29.21	29.8	30.39					
Administrative Support IV	Off	31.48	32.1	32.75	33.4					
Administrative Support IV	On	26.75	27.29	27.83	28.39					
Administrative Support IX	On	54.65	55.75	56.86	58					
Administrative Support IX	Off	64.3	65.59	66.91	68.25					
Administrative Support V	Off	36.52	37.25	37.99	38.75					
Administrative Support V	On	31.04	31.66	32.29	32.94					
Administrative Support VI	On	34.12	34.8	35.5	36.21					
Administrative Support VI	Off	40.15	40.95	41.77	42.6					
Administrative Support VII	Off	44.32	45.2	46.1	47.02					
Administrative Support VII	On	37.68	38.43	39.2	39.98					
Administrative Support VIII	On	45.53	46.44	47.37	48.31					
Administrative Support VIII	Off	53.55	54.63	55.72	56.84					
Business Specialist I	Off	84.89	86.58	88.31	90.08					
Business Specialist I	On	72.15	73.6	75.07	76.57					
Business Specialist II	Off	95.17	97.07	99.01	100.99					
Business Specialist II	On	80.89	82.51	84.16	85.85					
Business Specialist III	Off	105.46	107.57	109.72	111.91					
Business Specialist III	On	89.64	91.43	93.26	95.12					
Business Specialist IV	Off	120.91	123.32	125.79	128.31					
Business Specialist IV	On	102.76	104.82	106.92	109.06					
Business Specialist V	Off	126.03	128.55	131.12	133.75					
Business Specialist V	On	107.13	109.27	111.46	113.68					
Business Specialist VI	On	115.88	118.19	120.55	122.96					
Business Specialist VI	Off	136.34	139.06	141.84	144.68					
Business Specialist VII	Off	146.61	149.55	152.54	155.59					
Business Specialist VII	On	124.63	127.13	129.67	132.27					
Engineer/Analyst I	On	58.68	59.85	61.04	62.26					
Engineer/Analyst I	Off	69.01	70.38	71.79	73.23					
Engineer/Analyst II	On	60.55	61.77	63	64.27					
Engineer/Analyst II	Off	71.23	72.65	74.11	75.59					
Engineer/Analyst III	Off	73.99	75.47	76.99	78.53					
Engineer/Analyst III	On	62.89	64.15	65.43	66.74					
Engineer/Analyst IV	Off	81.15	82.78	84.43	86.12					
Engineer/Analyst IV	On	68.97	70.35	71.76	73.19					
Engineer/Analyst V	On	78.95	80.53	82.14	83.78					
Engineer/Analyst V	Off	92.9	94.75	96.65	98.58					
Junior Engineer/Analyst I	Off	35.61	36.33	37.05	37.79					
Junior Engineer/Analyst I	On	30.27	30.87	31.49	32.12					
Junior Engineer/Analyst II	Off	50.36	51.37	52.39	53.44					
Junior Engineer/Analyst II	On	42.81	43.67	44.55	45.44					
Junior Engineer/Analyst III	On	48.63	49.6	50.59	51.61					
Junior Engineer/Analyst III	Off	57.22	58.36	59.53	60.72					
Junior Engineer/Analyst IV	On	57.84	59	60.18	61.39					
Junior Engineer/Analyst IV	Off	68.04	69.4	70.79	72.21					
Manager I	On	97.89	99.85	101.84	103.88					
Manager I	Off	115.15	117.46	119.81	122.21					
Manager II	On	111.7	113.93	116.21	118.53					
Manager II	Off	131.41	134.04	136.72	139.46					
Manager III	Off	149.08	152.07	155.11	158.21					
Manager III	On	126.72	129.26	131.85	134.49					
Manager IV	Off	168.55	171.92	175.36	178.87					
Manager IV	On	143.28	146.14	149.06	152.05					
Manager V	Off	177.49	181.04	184.66	188.35					
Manager V	On	150.86	153.88	156.96	160.1					
Manager VI	On	168.36	171.73	175.16	178.67					
Manager VI	Off	198.07	202.03	206.07	210.19					
Manager VII	Off	208.36	212.53	216.78	221.11					
Manager VII	On	177.11	180.65	184.26	187.95					
Project Manager I	On	83.53	85.2	86.9	88.64					
Project Manager I	Off	98.28	100.25	102.25	104.3					
Project Manager II	On	89.21	90.99	92.81	94.67					
Project Manager II	Off	104.95	107.04	109.19	111.37					
Project Manager III	Off	115.17	117.48	119.82	122.22					
Project Manager III	On	97.89	99.85	101.85	103.89					
Project Manager IV	Off	120.03	122.43	124.88	127.37					
Project Manager IV	On	102.03	104.07	106.15	108.27					
Project Manager IX	On	167.6	170.95	174.37	177.87					
Project Manager IX	Off	197.18	201.13	205.15	209.26					
Project Manager V	On	107.13	109.27	111.46	113.68					
Project Manager V	Off	126.03	128.55	131.12	133.75					
Project Manager VI	On	111.83	114.06	116.34	118.67					
Project Manager VI	Off	131.56	134.19	136.88	139.61					
Project Manager VII	On	115.88	118.19	120.55	122.96					
Project Manager VII	Off	136.34	139.06	141.84	144.68					
Project Manager VIII	Off	146.61	149.55	152.54	155.59					
Project Manager VIII	On	124.63	127.13	129.67	132.27					
Senior Engineer/Analyst I	On	76.15	77.68	79.23	80.81					
Senior Engineer/Analyst I	Off	89.59	91.38	93.22	95.08					
Senior Engineer/Analyst II	On	82.49	84.14	85.83	87.55					
Senior Engineer/Analyst II	Off	97.05	98.99	100.97	102.99					
Senior Engineer/Analyst III	On	85.89	87.61	89.36	91.15					
Senior Engineer/Analyst III	Off	101.03	103.05	105.12	107.22					
Senior Engineer/Analyst IV	Off	105.46	107.57	109.72	111.91					
Senior Engineer/Analyst IV	On	89.64	91.43	93.26	95.12					
Senior Engineer/Analyst IX	On	124.63	127.13	129.67	132.27					
Senior Engineer/Analyst IX	Off	146.61	149.55	152.54	155.59					
Senior Engineer/Analyst V	Off	111.74	113.98	116.25	118.58					
Senior Engineer/Analyst V	On	94.98	96.88	98.81	100.79					
Senior Engineer/Analyst VI	On	98.38	100.35	102.36	104.4					
Senior Engineer/Analyst VI	Off	115.76	118.07	120.43	122.84					
Senior Engineer/Analyst VII	On	102.76	104.82	106.92	109.06					
Senior Engineer/Analyst VII	Off	120.91	123.32	125.79	128.31					
Senior Engineer/Analyst VIII	On	115.88	118.19	120.55	122.96					
Senior Engineer/Analyst VIII	Off	136.34	139.06	141.84	144.68					
Senior Engineer/Analyst X	On	133.37	136.03	138.75	141.53					
Senior Engineer/Analyst X	Off	156.92	160.05	163.25	166.52					
Senior Engineer/Analyst XI	On	147.45	150.4	153.41	156.48					
Senior Engineer/Analyst XI	Off	173.45	176.92	180.45	184.07					
Senior Scientist SME I	On	156.82	159.96	163.16	166.42					
Senior Scientist SME I	Off	184.49	188.17	191.95	195.79					
Senior Scientist SME II	Off	219.23	223.62	228.09	232.65					
Senior Scientist SME II	On	186.36	190.07	193.89	197.77					
Senior Scientist SME III	On	214.54	218.84	223.2	227.68					
Senior Scientist SME III	Off	252.41	257.45	262.61	267.86					
Technical Specialist I	Off	32.33	32.97	33.63	34.31					
Technical Specialist I	On	27.48	28.03	28.59	29.15					
Technical Specialist II	On	33.96	34.64	35.34	36.04					
Technical Specialist II	Off	39.96	40.76	41.57	42.41					
Technical Specialist III	On	41.63	42.47	43.32	44.19					
Technical Specialist III	Off	48.97	49.95	50.95	51.96					
Technical Specialist IV	Off	69.01	70.38	71.79	73.23					
Technical Specialist IV	On	58.68	59.85	61.04	62.26					
Technician I	On	28.42	28.99	29.57	30.16					
Technician I	Off	33.43	34.1	34.78	35.48					
Technician II	On	37.16	37.9	38.66	39.43					
Technician II	Off	43.73	44.61	45.5	46.41					
Technician III	On	43.88	44.75	45.65	46.56					
Technician III	Off	51.63	52.66	53.71	54.78					
Technician IV	On	45.53	46.44	47.37	48.31					
Technician IV	Off	53.55	54.63	55.72	56.84					
Technician V	Off	62.96	64.22	65.5	66.8					
Technician V	On	53.52	54.58	55.68	56.79					
Technician VI	On	54.65	55.75	56.86	58					
Technician VI	Off	64.3	65.59	66.91	68.25					
Technician VII	Off	74.59	76.08	77.6	79.15					
Technician VII	On	63.42	64.68	65.97	67.29					
										
"Kord Technologies, Inc. - PSS MOB"										
Labor Category	Site	11/10/2015 - 11/9/2016	11/10/2016 - 11/9/2017	11/10/2017 - 11/9/2018	11/10/2018 - 11/9/2019	11/10/2019 - 11/9/2020				
Administrator I	On	39.52	40.43	41.36	42.31	43.28				
Administrator I	Off	40.74	41.68	42.64	43.62	44.62				
Administrator II	On	46.5	47.57	48.66	49.78	50.92				
Administrator II	Off	47.94	49.04	50.17	51.32	52.5				
Associate Management Consultant I	On	54.73	55.99	57.28	58.6	59.95				
Associate Management Consultant I	Off	57.61	58.92	60.25	61.62	63.02				
Associate Management Consultant II	On	91.85	93.96	96.12	98.33	100.59				
Associate Management Consultant II	Off	92.8	94.91	97.06	99.26	101.52				
Business Process Consultant	On	130.61	133.61	136.68	139.82	143.04				
Business Process Consultant	Off	137.48	140.6	143.79	147.06	150.4				
Executive Management Consultant I	On	201.56	206.2	210.94	215.79	220.75				
Executive Management Consultant I	Off	217.23	222.23	227.34	232.57	237.92				
Executive Management Consultant II	On	221.64	226.74	231.96	237.3	242.76				
Executive Management Consultant II	Off	229.61	234.82	240.15	245.6	251.18				
Management Consultant I	On	66.61	68.14	69.71	71.31	72.95				
Management Consultant I	Off	68.67	70.25	71.87	73.52	75.21				
Management Consultant II	On	80.69	82.55	84.45	86.39	88.38				
Management Consultant II	Off	83.19	85.1	87.06	89.06	91.11				
Management Consultant III	On	92.67	94.8	96.98	99.21	101.49				
Management Consultant III	Off	95.54	97.74	99.99	102.29	104.64				
Management Consultant IV	On	109.82	112.31	114.68	117.32	120.02				
Management Consultant IV	Off	109.82	112.31	114.86	117.47	120.13				
Policy Analyst I	On	80.95	82.81	84.71	86.66	88.65				
Policy Analyst I	Off	85.21	87.15	89.12	91.15	93.22				
Policy Analyst II	On	106.07	108.51	111.01	113.56	116.17				
Policy Analyst II	Off	111.65	114.18	116.77	119.43	122.14				
Policy Analyst III	On	145.79	149.14	152.57	156.08	159.67				
Policy Analyst III	Off	153.46	156.94	160.5	164.15	167.87				
Principal Management Consultant I	On	152.32	155.82	159.4	163.07	166.82				
Principal Management Consultant I	Off	164.16	167.94	171.8	175.75	179.79				
Principal Management Consultant II	On	181.16	185.33	189.59	193.95	198.41				
Principal Management Consultant II	Off	195.25	199.74	204.33	209.03	213.84				
Program Manager	On	158.21	161.85	165.57	169.38	173.28				
Program Manager	Off	166.54	170.32	174.18	178.14	182.18				
Project Analyst I	On	65.71	67.22	68.77	70.35	71.97				
